PlayerName,Post,Age,MarketValue,Nationality,TeamJoined,League,Fee
Kylian Mbappé,Centre-Forward,25,180.00m,France,Real Madrid,LaLiga,free transfer
Victor Osimhen,Centre-Forward,25,100.00m,Nigeria,Galatasaray,Süper Lig,loan transfer
Julián Alvarez,Centre-Forward,24,90.00m,Argentina,Atlético de Madrid,LaLiga,75.00m
Khvicha Kvaratskhelia,Left Winger,23,85.00m,Georgia,Paris Saint-Germain,Ligue 1,70.00m
Xavi Simons,Attacking Midfield,21,80.00m,Netherlands,RB Leipzig,Bundesliga,50.00m
Jhon Durán,Centre-Forward,21,40.00m,Colombia,Al-Nassr FC,Saudi Pro League,77.00m
Omar Marmoush,Centre-Forward,25,60.00m,Egypt,Manchester City,Premier League,75.00m
Douglas Luiz,Central Midfield,26,70.00m,Brazil,Juventus FC,Serie A,51.50m
Matthijs de Ligt,Centre-Back,25,65.00m,Netherlands,Manchester United,Premier League,45.00m
Dominic Solanke,Centre-Forward,26,40.00m,England,Tottenham Hotspur,Premier League,64.30m
Leny Yoro,Centre-Back,18,50.00m,France,Manchester United,Premier League,62.00m
Nico González,Central Midfield,23,18.00m,Spain,Manchester City,Premier League,60.00m
Pedro Neto,Right Winger,24,55.00m,Portugal,Chelsea FC,Premier League,60.00m
Moussa Diaby,Right Winger,25,55.00m,France,Al-Ittihad Club,Saudi Pro League,60.00m
Dani Olmo,Attacking Midfield,26,60.00m,Spain,FC Barcelona,LaLiga,55.00m
Endrick,Centre-Forward,18,60.00m,Brazil,Real Madrid,LaLiga,47.50m
João Neves,Defensive Midfield,19,55.00m,Portugal,Paris Saint-Germain,Ligue 1,59.92m
Amadou Onana,Defensive Midfield,22,50.00m,Belgium,Aston Villa,Premier League,59.35m
Teun Koopmeiners,Attacking Midfield,26,50.00m,Netherlands,Juventus FC,Serie A,58.40m
Michael Olise,Right Winger,22,55.00m,France,Bayern Munich,Bundesliga,53.00m
João Palhinha,Defensive Midfield,29,55.00m,Portugal,Bayern Munich,Bundesliga,51.00m
Marcus Rashford,Left Winger,27,55.00m,England,Aston Villa,Premier League,loan transfer
João Félix,Second Striker,24,30.00m,Portugal,Chelsea FC,Premier League,52.00m
Désiré Doué,Right Winger,19,30.00m,France,Paris Saint-Germain,Ligue 1,50.00m
Manuel Ugarte,Defensive Midfield,23,45.00m,Uruguay,Manchester United,Premier League,50.00m
